label,sample_id,timestamp_ms,ax,ay,az,gx,gy,gz
wave_right,131,1475473,0.8467,-0.2871,0.5916,-104.2443,-51.9313,15.2901
wave_right,131,1475493,0.8677,-0.2344,0.5637,-97.458,-55.3664,43.4733
wave_right,132,1478384,0.5413,0.4829,0.8267,-4.7176,7.084,-2.0611
wave_right,132,1478404,0.5317,0.4812,0.8528,-2.3206,4.7176,-6.1298
wave_right,132,1478424,0.5278,0.4988,0.8359,-1.1069,-0.1069,-5.3435
wave_right,132,1478444,0.5608,0.5054,0.8022,-1.771,-0.2977,-1.1603
wave_right,132,1478464,0.5659,0.512,0.7795,-2.8015,5.8702,-1.4122
wave_right,132,1478484,0.5459,0.5117,0.7898,-3.6718,10.1832,-0.5115
wave_right,132,1478504,0.4956,0.4927,0.8447,-3.0305,6.4656,0.4885
wave_right,132,1478524,0.4766,0.522,0.8213,-2.8702,-0.3588,-1.313
wave_right,132,1478544,0.4802,0.5244,0.8184,-3.5725,-0.1832,-7.0076
wave_right,132,1478564,0.5,0.5659,0.8193,-3.5191,-1.6336,-14.3282
wave_right,132,1478584,0.48,0.6638,0.8323,-5.1985,-4.0229,-22.5802
wave_right,132,1478604,0.4741,0.7383,0.8127,-11.3435,-6.8855,-24.4656
wave_right,132,1478624,0.4819,0.8191,0.7976,-20.3969,-7.4046,-27.6183
wave_right,132,1478644,0.4656,0.8806,0.8206,-29.9466,-9.0763,-30.2748
wave_right,132,1478664,0.4595,0.8774,0.8015,-39.4427,-10.4962,-39.8779
wave_right,132,1478684,0.428,0.9221,0.8022,-53.5725,-10.5191,-57.8931
wave_right,132,1478704,0.3806,0.9924,0.7983,-71.2061,-15.0611,-58.8779
wave_right,132,1478724,0.3804,0.9949,0.7881,-90.2595,-22.8321,-48.0611
wave_right,132,1478744,0.3875,0.9246,0.7732,-110.4962,-30.145,-38.0763
wave_right,132,1478764,0.397,0.7795,0.771,-126.8626,-37.5725,-29.2366
wave_right,132,1478784,0.4253,0.6689,0.7576,-137.4046,-50.2824,-36.4046
wave_right,132,1478804,0.5215,0.6477,0.7268,-145.7099,-61.3206,-40.2977
wave_right,132,1478824,0.5791,0.6741,0.6697,-156.687,-60.3664,-16.0305
wave_right,132,1478844,0.6072,0.574,0.6404,-170.0611,-53.1603,19.8168
wave_right,132,1478864,0.6104,0.3525,0.6934,-179.3588,-50.229,31.9389
wave_right,132,1478884,0.644,0.2144,0.7,-181.9847,-54.0534,13.1985
wave_right,132,1478904,0.7371,0.1953,0.6509,-180.9389,-50.0534,-5.0
wave_right,132,1478924,0.7688,0.1921,0.616,-183.1756,-39.3435,7.3053
wave_right,132,1478944,0.7266,0.0752,0.6331,-185.1985,-26.542,28.2214
wave_right,132,1478964,0.6921,-0.0398,0.635,-187.3969,-19.7939,44.4733
wave_right,132,1478984,0.7029,-0.1243,0.6323,-187.4427,-16.6412,51.6489
wave_right,132,1479004,0.7468,-0.2751,0.6047,-181.6718,-5.7252,47.0763
wave_right,132,1479024,0.7595,-0.4204,0.6226,-168.4809,6.3969,20.9695
wave_right,132,1479044,0.657,-0.4094,0.6067,-160.4657,13.5573,8.7176
wave_right,132,1479064,0.5898,-0.427,0.6433,-155.2061,11.1985,18.9084
wave_right,132,1479084,0.584,-0.5256,0.6245,-151.1374,3.7634,32.1527
wave_right,132,1479104,0.5959,-0.6421,0.5706,-147.3206,0.0382,48.5649
wave_right,132,1479124,0.5789,-0.7302,0.5469,-137.313,5.9084,54.6718
wave_right,132,1479144,0.5417,-0.8606,0.5854,-120.1374,9.4733,46.9542
wave_right,132,1479164,0.4858,-0.9504,0.5952,-97.7863,9.9237,28.8931
wave_right,132,1479184,0.4771,-0.946,0.6506,-77.7481,8.7252,15.9008
wave_right,132,1479204,0.4985,-0.908,0.6479,-60.0076,4.9389,6.7023
wave_right,132,1479224,0.4817,-0.8848,0.6497,-48.0458,8.1756,4.313
wave_right,132,1479244,0.4353,-0.8706,0.6736,-37.8397,7.7176,8.2519
wave_right,132,1479264,0.4722,-0.9119,0.7041,-24.7023,3.2366,1.1756
wave_right,132,1479284,0.5298,-0.8091,0.6982,-12.5802,-0.0763,-11.8321
wave_right,132,1479304,0.5093,-0.7156,0.7231,-8.4198,4.2748,-11.8168
wave_right,132,1479324,0.4805,-0.7078,0.7495,-7.5649,3.0611,-5.8092
wave_right,132,1479344,0.5222,-0.6736,0.7649,-4.4885,-1.1756,-3.5954
wave_right,132,1479364,0.5115,-0.6582,0.729,-3.4733,-0.626,-0.2443
wave_right,133,1482032,0.8984,-0.105,0.6809,3.0916,-3.9389,-12.2519
wave_right,133,1482052,0.9058,-0.0874,0.7021,10.2214,-6.8779,-19.8092
wave_right,133,1482072,0.9351,-0.0959,0.7014,16.8092,-12.0763,-24.0611
wave_right,133,1482092,1.0186,-0.188,0.6836,29.4504,-11.9466,-37.5115
